Barcode,Name,Price,Category,Stock,Artist,Emoji,Image,Description,IsSetPriced,SetGroupName,SET1_QTY,SET1_Price,SET2_QTY,SET2_Price,SET3_QTY,SET3_Price
,PLAVE_Sticker set,50,Stickers,100,INK,💖,INK_PLAVE_Sticker set,,,,,,,,,
,sticker sheet A5 blooms,55,Stickers,100,Field,,Field_sheetA5_02,,TRUE,A5 set,2,100,,,,
,sticker sheet A5 fall,55,Stickers,100,Field,,Field_sheetA6_01,,TRUE,A5 set,2,100,,,,
,sticker sheet A6 fall,45,Stickers,100,Field,,Field_sheetA5_02,,FALSE,,,,,,,
,sticker sheet A6 blooms,45,Stickers,100,Field,,Field_sheetA6_02,,FALSE,,,,,,,
,แผ่นทุ่งดอกไม้01,39,Stickers,100,Field,,Field_แผ่นดอก_01,,FALSE,,,,,,,
,แผ่นทุ่งดอกไม้02,39,Stickers,100,Field,,Field_แผ่นดอก_02,,FALSE,,,,,,,
,ยางมัดผม01,169,Others,100,Field,,Field_ยาง_01,,FALSE,,,,,,,
,ยางมัดผม02,169,Others,100,Field,,Field_ยาง_02,,FALSE,,,,,,,
,ยางมัดผม03,169,Others,100,Field,,Field_ยาง_03,,FALSE,,,,,,,
,Fe_OC01,15,Stickers,100,Field,,Field_oc_01,,FALSE,,,,,,,
,Fe_OC02,15,Stickers,100,Field,,Field_oc_02,,FALSE,,,,,,,
,Fe_stamp01,15,Stickers,100,Field,,Field_stamp_01,,FALSE,,,,,,,
,Fe_stamp02,15,Stickers,100,Field,,Field_stamp_02,,FALSE,,,,,,,
,Fe_stamp03,15,Stickers,100,Field,,Field_stamp_03,,FALSE,,,,,,,
,Fe_stamp04,15,Stickers,100,Field,,Field_stamp_04,,FALSE,,,,,,,
,Fe_stamp05,15,Stickers,100,Field,,Field_stamp_05,,FALSE,,,,,,,
,Fe_stamp06,15,Stickers,100,Field,,Field_stamp_06,,FALSE,,,,,,,
,Fe_stamp07,15,Stickers,100,Field,,Field_stamp_07,,FALSE,,,,,,,
,Fe_stamp08,15,Stickers,100,Field,,Field_stamp_08,,FALSE,,,,,,,
,Fe_stamp09,15,Stickers,100,Field,,Field_stamp_09,,FALSE,,,,,,,
,Fe_stamp10,15,Stickers,100,Field,,Field_stamp_10,,FALSE,,,,,,,
,Fe_ministamp01,10,Stickers,100,Field,,Field_ministamp_01,,FALSE,,,,,,,
,Fe_ministamp02,10,Stickers,100,Field,,Field_ministamp_02,,FALSE,,,,,,,
,Fe_ministamp03,10,Stickers,100,Field,,Field_ministamp_03,,FALSE,,,,,,,
,Feแผ่นใส01,39,Stickers,100,Field,,Field_ใส_01,,FALSE,,,,,,,
,Feแผ่นใส02,39,Stickers,100,Field,,Field_ใส_02,,FALSE,,,,,,,
,Feแผ่นใส03,39,Stickers,100,Field,,Field_ใส_03,,FALSE,,,,,,,
,Feแผ่นใส04,39,Stickers,100,Field,,Field_ใส_04,,FALSE,,,,,,,
,Feเค้ก01,5,Stickers,100,Field,,Field_เค้ก_01,,FALSE,,,,,,,
,Feเค้ก02,5,Stickers,100,Field,,Field_เค้ก_02,,FALSE,,,,,,,
,Feเค้ก03,5,Stickers,100,Field,,Field_เค้ก_03,,FALSE,,,,,,,
,Feเค้ก04,5,Stickers,100,Field,,Field_เค้ก_04,,FALSE,,,,,,,
,Feเค้ก05,5,Stickers,100,Field,,Field_เค้ก_05,,FALSE,,,,,,,
,แผ่นรอง01,150,Others,100,Field,,Field_แผ่นรอง_01,,FALSE,,,,,,,
,แผ่นรอง02,150,Others,100,Field,,Field_แผ่นรอง_02,,FALSE,,,,,,,
,Feเมทัลลิค,20,Stickers,100,Field,,Field_เมทัล_01,,FALSE,,,,,,,
,Feเห็ด,5,Stickers,100,Field,,Field_เห็ด_02,,FALSE,,,,,,,
,ทุ่งดอก01,40,Postcard,100,Field,,Field_โปส_01,,FALSE,,,,,,,
,ทุ่งดอก02,40,Postcard,100,Field,,Field_โปส_02,,FALSE,,,,,,,
,ทุ่งดอก03,40,Postcard,100,Field,,Field_โปส_03,,FALSE,,,,,,,
,ทุ่งดอก04,40,Postcard,100,Field,,Field_โปส_04,,FALSE,,,,,,,
,เป็ด,40,Postcard,100,Field,,Field_โปส_05,,FALSE,,,,,,,
,Feพวงกุญแจ01,69,Acrylics,100,Field,,Field_พกจ_01,,FALSE,,,,,,,
,Feพวงกุญแจ02,69,Acrylics,100,Field,,Field_พกจ_02,,FALSE,,,,,,,
,Feพวงกุญแจ03,69,Acrylics,100,Field,,Field_พกจ_03,,FALSE,,,,,,,
,badge01,15,Stickers,100,Field,,Field_badge_01,,FALSE,,,,,,,
,badge02,15,Stickers,100,Field,,Field_badge_02,,FALSE,,,,,,,
,badge03,15,Stickers,100,Field,,Field_badge_03,,FALSE,,,,,,,
,advenฯ,29,Stickers,100,Field,,Field_adven_01,,FALSE,,,,,,,
,Feดันเมชิ01,20,Stickers,100,Field,,Field_dun_01,,FALSE,,,,,,,
,Feดันเมชิ02,20,Stickers,100,Field,,Field_dun_02,,FALSE,,,,,,,
,Feดันเมชิ03,20,Stickers,100,Field,,Field_dun_03,,FALSE,,,,,,,
,Feดันเมชิ04,20,Stickers,100,Field,,Field_dun_04,,FALSE,,,,,,,
,HxH01,40,Postcard,100,ฝัน,,ฝัน_โปส_01,,FALSE,,,,,,,
,HxH02,40,Postcard,100,ฝัน,,ฝัน_โปส_02,,FALSE,,,,,,,
,HxH03,40,Postcard,100,ฝัน,,ฝัน_โปส_03,,FALSE,,,,,,,
,คุกกี้ระเบิด,50,Acrylics,100,ฝัน,,ฝัน_คุกกี้_01,,FALSE,,,,,,,
,ฝันสตก01,10,Stickers,100,ฝัน,,ฝัน_สตก_01,,FALSE,,,,,,,
,ฝันสตก02,10,Stickers,100,ฝัน,,ฝัน_สตก_02,,FALSE,,,,,,,
,ฝันสตก03,10,Stickers,100,ฝัน,,ฝัน_สตก_03,,FALSE,,,,,,,
,เรื่องไม่ลับ,299,Books,100,ฟ่อน,,ฟ่อน_ไม่ลับ_01,,FALSE,,,,,,,
,เบียวตูนเกย์,230,Books,100,แม็ก,,แม็ก_เบียว_01,,FALSE,,,,,,,
,ARK END Acrylic01,140,Acrylics,100,PIM,,pim_arkacry_01,,TRUE,ark end,2,250,,,,
,ARK END Acrylic02,140,Acrylics,100,PIM,,pim_arkacry_02,,TRUE,ark end,2,250,,,,
,The BOY keychain set,240,Acrylics,100,PIM,,pim_magnet_01,,FALSE,,,,,,,
,The Boy standee - the deep,190,Acrylics,100,PIM,,pim_deep_01,,FALSE,,,,,,,
,Work ไร้ balance01,15,Stickers,100,PIM,,pim_work_01,,FALSE,,,,,,,
,Work ไร้ balance02,15,Stickers,100,PIM,,pim_work_02,,FALSE,,,,,,,
,Work ไร้ balance03,15,Stickers,100,PIM,,pim_work_03,,FALSE,,,,,,,
,Work ไร้ balance04,15,Stickers,100,PIM,,pim_work_04,,FALSE,,,,,,,
,Work ไร้ balance05,15,Stickers,100,PIM,,pim_work_05,,FALSE,,,,,,,
,ark end สตก01,10,Stickers,100,PIM,,pim_arkสตก_01,,FALSE,,,,,,,
,ark end สตก02,10,Stickers,100,PIM,,pim_arkสตก_02,,FALSE,,,,,,,
,ark end สตก03,10,Stickers,100,PIM,,pim_arkสตก_03,,FALSE,,,,,,,
,ark end สตก04,10,Stickers,100,PIM,,pim_arkสตก_04,,FALSE,,,,,,,
,ark end สตก05,10,Stickers,100,PIM,,pim_arkสตก_05,,FALSE,,,,,,,
,plave01,35,Photo card,100,PIM,,pim_plave_01,,TRUE,plave photo,5,150,,,,
,plave02,35,Photo card,100,PIM,,pim_plave_02,,TRUE,plave photo,5,150,,,,
,plave03,35,Photo card,100,PIM,,pim_plave_03,,TRUE,plave photo,5,150,,,,
,plave04,35,Photo card,100,PIM,,pim_plave_04,,TRUE,plave photo,5,150,,,,
,plave05,35,Photo card,100,PIM,,pim_plave_05,,TRUE,plave photo,5,150,,,,
,พกจ บาส01,100,Acrylics,100,PIM,,pim_พกจบาส_01,,FALSE,,,,,,,
,พกจ บาส02,100,Acrylics,100,PIM,,pim_พกจบาส_02,,FALSE,,,,,,,
,พกจ บาส03,100,Acrylics,100,PIM,,pim_พกจบาส_03,,FALSE,,,,,,,
,บาส01,5,Stickers,100,PIM,,pim_บาส_01,,FALSE,,,,,,,
,บาส02,5,Stickers,100,PIM,,pim_บาส_02,,FALSE,,,,,,,
,บาส03,5,Stickers,100,PIM,,pim_บาส_03,,FALSE,,,,,,,
,downpour,180,Books,100,PIM,,pim_downpour_01,,FALSE,,,,,,,
,แผ่นแรคคูน,50,Stickers,100,PIM,,pim_ดันเม_01,,FALSE,,,,,,,
,แผ่นดันเมชิ,50,Stickers,100,PIM,,pim_แรค_01,,FALSE,,,,,,,
,orv dokja sticker,5,Stickers,100,Dream,,Dream_orvsticker_01,,FALSE,,,,,,,
,orv junghyoek sticker,5,Stickers,100,Dream,,Dream_orvsticker_02,,FALSE,,,,,,,
,สติกเกอร์แผ่นแมว1,29,Stickers,100,Dream,,Dream_แมวแผ่น_01,,TRUE,แผ่นแมว set,2,49,,,,
,สติกเกอร์แผ่นแมว2,29,Stickers,100,Dream,,Dream_แมวแผ่น_02,,TRUE,แผ่นแมว set,2,49,,,,
,พวงกุญแจPlave อึนโฮ,59,Acrylics,100,Dream,🐺,Dream_plaveพวงกุญแจ_01,,TRUE,plave set,2,109,5,249,,
,พวงกุญแจPlave แบมบี้,59,Acrylics,100,Dream,🦌,Dream_plaveพวงกุญแจ_02,,TRUE,plave set,2,109,5,249,,
,พวงกุญแจPlave เยจุน,59,Acrylics,100,Dream,🐬,Dream_plaveพวงกุญแจ_03,,TRUE,plave set,2,109,5,249,,
,พวงกุญแจPlave โนอา,59,Acrylics,100,Dream,🦙,Dream_plaveพวงกุญแจ_04,,TRUE,plave set,2,109,5,249,,
,พวงกุญแจPlave ฮามิน,59,Acrylics,100,Dream,🐈‍⬛,Dream_plaveพวงกุญแจ_05,,TRUE,plave set,2,109,5,249,,
,orv dokja Keychain,109,Acrylics,100,Dream,,Dream_orvkc_01,,TRUE,Keychain_ORV,2,180,,,,
,orv junghyoek Keychain,109,Acrylics,100,Dream,,Dream_orvkc_02,,TRUE,Keychain_ORV,2,180,,,,
,แฟ้มลับฉบับสัตว์โลก,89,Books,100,Dream,,Dream_แฟ้ม_01,,FALSE,,,,,,,
,Lucifer Standee 6 cm,149,Acrylics,100,Dream,,Dream_luci_01,,FALSE,,,,,,,
,OC Gold Melon ,39,Postcard,100,Dream,,Dream_oc_01,,TRUE,Postcard_Dream,2,69,3,89,,
,OC Pearl Paint,39,Postcard,100,Dream,,Dream_oc_02,,TRUE,Postcard_Dream,2,69,3,89,,
,OC Snow Crystal,39,Postcard,100,Dream,,Dream_oc_03,,TRUE,Postcard_Dream,2,69,3,89,,
,Sticker Stamp 5 cm,15,Stickers,100,Dream,,Dream_stamb_01,,FALSE,,,,,,,
,แมวเดี่ยว01,5,Stickers,100,Dream,,Dream_แมว_01,,FALSE,,,,,,,
,แมวเดี่ยว02,5,Stickers,100,Dream,,Dream_แมว_02,,FALSE,,,,,,,
,แมวเดี่ยว03,5,Stickers,100,Dream,,Dream_แมว_03,,FALSE,,,,,,,
,สัตว์โลก01,10,Stickers,100,Dream,,Dream_สัตว์_01,,FALSE,,,,,,,
,สัตว์โลก02,10,Stickers,100,Dream,,Dream_สัตว์_02,,FALSE,,,,,,,
,สัตว์โลก03,10,Stickers,100,Dream,,Dream_สัตว์_03,,FALSE,,,,,,,
,สัตว์โลก04,10,Stickers,100,Dream,,Dream_สัตว์_04,,FALSE,,,,,,,
,สัตว์โลก05,10,Stickers,100,Dream,,Dream_สัตว์_05,,FALSE,,,,,,,
,Clear Sticker 5 cm - croc 1 ,15,Stickers,100,Dream,,Dream_croc_01,,TRUE,croc_set,3,40,,,,
,Clear Sticker 5 cm - croc 2,15,Stickers,100,Dream,,Dream_croc_02,,TRUE,croc_set,3,40,,,,
,Clear Sticker 5 cm - croc 3,15,Stickers,100,Dream,,Dream_croc_03,,TRUE,croc_set,3,40,,,,
,Sticker Sheet A6 - Croc,39,Stickers,100,Dream,,Dream_crocแผ่น_01,,FALSE,,,,,,,
,Sticker Sheet A7 - Croc,19,Stickers,100,Dream,,Dream_crocแผ่น_02,,FALSE,,,,,,,
,Croc อยู่ไม่ไหว,5,Stickers,100,Dream,,Dream_crocไม่ไหว_01,,FALSE,,,,,,,
